FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;COMUNA;FECHA(YYYYMMDD)
100322;0;;;1.355;Concepcion;20100322
100323;0;;;1.355;Concepcion;20100323
100324;0;;;1.355;Concepcion;20100324
100325;0;;;1.355;Concepcion;20100325
100326;0;;;1.355;Concepcion;20100326
100327;0;;;1.355;Concepcion;20100327
100328;0;;;1.355;Concepcion;20100328
100329;0;;;1.355;Concepcion;20100329
100330;0;;;1.355;Concepcion;20100330
100331;0;;;1.355;Concepcion;20100331
100401;0;;;1.355;Concepcion;20100401
100402;0;;;1.355;Concepcion;20100402
100403;0;;;1.355;Concepcion;20100403
100404;0;;;1.355;Concepcion;20100404
100405;0;;;1.355;Concepcion;20100405
100406;0;;;673.897;Concepcion;20100406
100407;0;;;552.697;Concepcion;20100407
100408;0;;;829;Concepcion;20100408
100409;0;;;;Concepcion;20100409
100410;0;;;0;Concepcion;20100410
100411;0;;;117.8;Concepcion;20100411
100412;0;;;56.89;Concepcion;20100412
100413;0;;;36.5699;Concepcion;20100413
100414;0;;;48.7599;Concepcion;20100414
100415;0;;;50.12;Concepcion;20100415
100416;0;;;52.83;Concepcion;20100416
100417;0;;;84;Concepcion;20100417
100418;0;;;35.22;Concepcion;20100418
100419;0;;;48.7599;Concepcion;20100419
100420;0;;;37.93;Concepcion;20100420
100421;0;;;77.21;Concepcion;20100421
100422;0;;;78.5597;Concepcion;20100422
100423;0;;;;Concepcion;20100423
100424;0;;;;Concepcion;20100424
100425;0;;;;Concepcion;20100425
100426;0;;;;Concepcion;20100426
100427;0;;;;Concepcion;20100427
100428;0;;;;Concepcion;20100428
100429;0;;;29.36;Concepcion;20100429
100430;0;;;28.33;Concepcion;20100430
100501;0;;;33.11;Concepcion;20100501
100502;0;;;15.02;Concepcion;20100502
100503;0;;;42.67;Concepcion;20100503
100504;0;;;36.52;Concepcion;20100504
100505;0;;;34.8199;Concepcion;20100505
100506;0;;;0;Concepcion;20100506
100507;0;;;20.99;Concepcion;20100507
100508;0;;;16.04;Concepcion;20100508
100509;0;;;37.55;Concepcion;20100509
100510;0;;;25.94;Concepcion;20100510
100511;0;;;36.35;Concepcion;20100511
100512;0;;;0;Concepcion;20100512
100513;0;;;0;Concepcion;20100513
100514;0;;;34.1299;Concepcion;20100514
100515;0;;;37.55;Concepcion;20100515
100516;0;;;0;Concepcion;20100516
100517;0;;;40.62;Concepcion;20100517
100518;0;;;35.5;Concepcion;20100518
100519;0;;;31.75;Concepcion;20100519
100520;0;;;25.6;Concepcion;20100520
100521;0;;;0;Concepcion;20100521
100522;0;;;37.89;Concepcion;20100522
100523;0;;;32.09;Concepcion;20100523
100524;0;;;31.07;Concepcion;20100524
100525;0;;;31.06;Concepcion;20100525
100526;0;;;22.53;Concepcion;20100526
100527;0;;;37.21;Concepcion;20100527
100528;0;;;463.3;Concepcion;20100528
100529;0;;;53.6;Concepcion;20100529
100530;0;;;499.8;Concepcion;20100530
100531;0;;;499.9;Concepcion;20100531
100601;0;;;499.9;Concepcion;20100601
100602;0;;;499.7;Concepcion;20100602
100603;0;;;499.9;Concepcion;20100603
100604;0;;;499.8;Concepcion;20100604
100605;0;;;499.8;Concepcion;20100605
100606;0;;;499.9;Concepcion;20100606
100607;0;;;499.7;Concepcion;20100607
100608;0;;;499.8;Concepcion;20100608
100609;0;;;499.8;Concepcion;20100609
100610;0;;;499.7;Concepcion;20100610
100611;0;;;499.7;Concepcion;20100611
100612;0;;;499.7;Concepcion;20100612
100613;0;;;1.024;Concepcion;20100613
100614;0;;;1.024;Concepcion;20100614
100615;0;;;1.024;Concepcion;20100615
100616;0;;;1.024;Concepcion;20100616
100617;0;;;1.707;Concepcion;20100617
100618;0;;;1.707;Concepcion;20100618
100619;0;;;1.707;Concepcion;20100619
100620;0;;;1.707;Concepcion;20100620
100621;0;;;1.707;Concepcion;20100621
100622;0;;;1.707;Concepcion;20100622
100623;0;;;1.707;Concepcion;20100623
100624;0;;;1.707;Concepcion;20100624
100625;0;;;1.707;Concepcion;20100625
100626;0;;;1.707;Concepcion;20100626
100627;0;;;1.707;Concepcion;20100627
100628;0;;;1.707;Concepcion;20100628
100629;0;;;1.707;Concepcion;20100629
100630;0;;;0;Concepcion;20100630
100701;0;;;0;Concepcion;20100701
100702;0;;;0;Concepcion;20100702
100703;0;;;0;Concepcion;20100703
100704;0;;;0;Concepcion;20100704
