CodigoNacional;momento;Total_Valor;Traza_Valor;Parcial_Valor;NumDatos_Valor;FechaPro_Valor
290004;10-05-1954 12:00:00;4.0;0.0;0.0;1.0;2018.0
290004;11-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
