FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;FECHA(YYYYMMDD)
020613;0;73,5833;;;20020613
020614;0;85,125;;;20020614
020615;0;91,8333;;;20020615
020616;0;86,875;;;20020616
020617;0;94,2083;;;20020617
020618;0;102,458;;;20020618
020619;0;90,9166;;;20020619
020620;0;93;;;20020620
020621;0;90,1364;;;20020621
020622;0;74,4583;;;20020622
020623;0;46,7083;;;20020623
020624;0;63,9583;;;20020624
020625;0;52,2916;;;20020625
020626;0;60,5416;;;20020626
020627;0;15,5417;;;20020627
020628;0;6,95833;;;20020628
020629;0;15,4583;;;20020629
020630;0;42,875;;;20020630
020701;0;72,6666;;;20020701
020702;0;71,5416;;;20020702
020703;0;56,8333;;;20020703
020704;0;63,25;;;20020704
020705;0;45,9583;;;20020705
020706;0;58,3333;;;20020706
020707;0;73,875;;;20020707
020708;0;96,8333;;;20020708
